"Id","OwnerId","IsDeleted","Name","CurrencyIsoCode","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","Country__c","Population__c","Business_Associate__c","Geolocation__Latitude__s","Geolocation__Longitude__s","Zone__c","Target_Population__c","myAgro_Model__c","Targeted_or_Viral__c","Vendor__c","Delivery_Day__c","Delivery_Route__c","Delivery_Drop_Order__c","Agent_Maraichage__c","Active__c"
"a0Vb0000000xB8JEAU","005b0000000WPiMAAW","0","Niegue","XOF","2013-08-24 21:09:36","005b0000000WPiMAAW","2015-03-04 15:26:58","005b0000000mPx4AAE","2015-03-04 15:26:58","","Mali","846","a0Ib0000003QGjVEAW","","","Dialakoroba","338","Boutique","","a0Pb0000002yfDbEAI","2014-06-07 00:00:00","Camion 2","1 (Dialakoroba)","","0"
"a0Vb0000000xB8NEAU","005b0000000WPiMAAW","0","Lena","XOF","2013-08-24 21:02:41","005b0000000WPiMAAW","2015-03-04 15:26:58","005b0000000mPx4AAE","2015-03-04 15:26:58","","Mali","756","a0Ib0000003QGjVEAW","12.099000","-8.037000","Dialakoroba","302","Boutique;Early Adopter","Targeted","a0Pb0000002yfDAEAY","2014-06-05 00:00:00","Camion 2","3 (Manambougou)","","0"
"a0Vb0000000xB8OEAU","005b0000000WPiMAAW","0","Kombo","XOF","2013-08-24 21:03:37","005b0000000WPiMAAW","2015-03-04 15:26:58","005b0000000mPx4AAE","2015-03-04 15:26:58","","Mali","2751","a0Ib000000GjA7kEAF","12.304000","-7.614000","Tiele","1100","Boutique","","a0Pb0000002yfDUEAY","2014-06-04 00:00:00","Camion 2","3 (Kombo)","","1"
"a0Vb0000000xB8XEAU","005b0000000WPiMAAW","0","Baga","XOF","2013-08-24 21:03:35","005b0000000WPiMAAW","2015-03-04 15:26:58","005b0000000mPx4AAE","2015-03-04 15:26:58","","Mali","567","a0Ib000000GjA7REAV","12.120000","-7.979000","Dialakoroba","226","Boutique;Early Adopter","Targeted","a0Pb0000002yfDAEAY","2014-06-07 00:00:00","Camion 4","1 (Baga)","a0Ib000000GUrxrEAD","1"
"a0Vb0000000xB8cEAE","005b0000000WPiMAAW","0","Falan","XOF","2013-08-24 21:03:36","005b0000000WPiMAAW","2015-03-04 15:26:58","005b0000000mPx4AAE","2015-03-04 15:26:58","","Mali","1079","a0Ib000000GjA7JEAV","12.170000","-7.741000","Dialakoroba","431","Vendor Assistance;Local Vendor","Targeted","a0Pb0000000kW9CEAU","2014-06-04 00:00:00","Camion 6","1 (Falan)","a0Ib000000GUsK7EAL","1"
"a0Vb0000000xB8dEAE","005b0000000WPiMAAW","0","Sanambele","XOF","2013-08-24 21:05:28","005b0000000WPiMAAW","2015-03-04 15:26:58","005b0000000mPx4AAE","2015-03-04 15:26:58","","Mali","923","a0Ib000000GjA7MEAV","12.285000","-7.824000","Dialakoroba","369","Vendor Assistance;Local Vendor","Targeted","a0Pb0000002yfDfEAI","2014-06-05 00:00:00","Camion 4","1 (Sanambele","a0Ib000000GUsSoEAL","0"
"a0Vb0000000xB8eEAE","005b0000000WPiMAAW","0","Sanambougoula","XOF","2013-08-24 21:09:37","005b0000000WPiMAAW","2015-03-04 15:26:58","005b0000000mPx4AAE","2015-03-04 15:26:58","","Mali","265","a0Ib0000002S1yHEAS","","","Tiele","106","Boutique","","a0Pb0000002yfDQEAY","2014-06-04 00:00:00","Camion 2","3 (Kombo)","","0"
"a0Vb0000000xB8hEAE","005b0000000WPiMAAW","0","Molobala","XOF","2013-08-24 21:03:36","005b0000000WPiMAAW","2015-03-04 15:26:58","005b0000000mPx4AAE","2015-03-04 15:26:58","","Mali","1622","a0Ib000000GjA7REAV","12.177000","-5.333000","Dialakoroba","648","Boutique;Early Adopter","Targeted","a0Pb0000002yfDXEAY","2014-06-05 00:00:00","Camion 2","2 (Molobala)","","1"
"a0Vb0000000xB8iEAE","005b0000000WPiMAAW","0","Tabacoro","XOF","2013-08-24 21:09:37","005b0000000WPiMAAW","2015-03-04 15:26:58","005b0000000mPx4AAE","2015-03-04 15:26:58","","Mali","611","a0Ib000000GjA7MEAV","","","Dialakoroba","244","Boutique","","a0Pb0000002yfDnEAI","2014-06-05 00:00:00","Camion 3","1 (Tabacoro)","a0Ib000000GUsJeEAL","1"
"a0Vb0000000xB8mEAE","005b0000000WPiMAAW","0","Bananzole","XOF","2013-08-24 21:03:36","005b0000000WPiMAAW","2015-03-04 15:26:58","005b0000000mPx4AAE","2015-03-04 15:26:58","","Mali","858","a0Ib0000002S1pXEAS","12.216000","-7.911000","Ouelessebougou","343","Boutique","Viral","a0Pb0000002yfDCEAY","2014-06-06 00:00:00","Camion 3","3 (Bananzole)","a0Ib000000GUsSoEAL","0"
